Product Name,Image Link,VariantID,Size,Volume Unit,Expert Ratings,Stock,WS Retail Price,Winemaker Name,Vintage (Year),Country,Region,Wine Type,Wine Grapes,Level to Drink,Vinification Process,Season,Soil Type,Description,Occasion,Body,Acidity,Alcohol,Fruitiness,Minerality,Sweetness / Dry
Chateau Haut-Bages Liberal 1988,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6734e1e95d3ea39698c1acf2Chateau20Haut-Bages20Liberal201988.png,354803,750ml,ml,RP: 92; WS: 90,10,646,Chateau Haut-Bages Liberal,1988,France,Left Bordeaux,Red,Cabernet Sauvignon,/ Drink within 5 years.,"/ Aged in French oak barrels for 24 months, with regular racking and fining.","Autumn, Winter",Soil Type: Gravel,"A classic Left Bank Bordeaux, this wine is full-bodied with rich, dark fruit flavors and a hint of minerality, balanced by medium acidity and a dry finish.",Occasion: Celebration,Full,Medium,13.5,Rich,Medium,Dry
Chateau Haut-Batailley 1988,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/67386df8a8068b36ecc2f732Chateau20Haut-Batailley201988.png,354805,750ml,ml,RP: 88; WS: 90,10,698,Chateau Haut-Batailley,1988,France,Left Bordeaux,Red,Cabernet Sauvignon,/ Drink within 10 years.,/ Aged in French oak barrels for 24 months.,"autumn, winter",Soil Type: Gravel,"A classic Left Bank Bordeaux with a rich, full-bodied texture and a complex array of dark fruit flavors, subtle hints of spice and tobacco, and a long, velvety finish.",Occasion: Celebration,Full,Medium,13.5,Rich,Medium,Dry
Chateau Haut-Batailley 1989,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6734e1e9fd17aa5dc9ce595cChateau20Haut-Batailley201989.png,354807,750ml,ml,RP: 92; WS: 90,10,888,Chateau Haut-Batailley,1989,France,Left Bordeaux,Red,Cabernet Sauvignon,/ Drink within 5 years.,/ Aged in French oak barrels for 24 months.,"Autumn, Winter",Soil Type: Gravel,"A rich, full-bodied wine with a velvety texture, offering a complex blend of dark fruit flavors, subtle hints of spice and tobacco, and a long, satisfying finish.",Occasion: Celebration,Full,Medium,13.5,Rich,Medium,Dry
Chateau Haut-Brion 1980,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/67385ad162341f743988bd15Chateau20Haut-Brion201980.png,354809,750ml,ml,RP: 92; WS: 90,10,"3,900.00",Chateau Haut-Brion,1980,France,Left Bordeaux,Red,Cabernet Sauvignon,/ Drink within 10 years.,/ Aged in French oak barrels for 24 months.,"Autumn, Winter",Soil Type: Gravel,"A rich, full-bodied wine with a velvety texture, offering a complex array of dark fruit flavors, subtle hints of spice and tobacco, and a long, satisfying finish.",Occasion: Celebration,Full,Medium,13.5,Rich,Medium,Dry
Chateau La Pointe Pomerol 1982,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6734e1e83586da1ece071dabChateau20La20Pointe20Pomerol201982.png,354811,750ml,ml,RP: 92; WS: 90,10,688,Chateau La Pointe,1982,France,Right Bordeaux,Red,Merlot,/ Drink within 5 years.,/ Aged in French oak barrels for 24 months.,"Autumn, Winter",Soil Type: Clay,"A rich, full-bodied Merlot with a velvety texture, offering a complex array of dark fruit flavors, subtle hints of earth and spice, and a long, satisfying finish.",Occasion: Celebration,Full,Medium,13.5,Rich,Medium,Dry
Château La Tour Haut Brion 2005,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6732083aa36ce7bf17666f1bChaCC82teau20La20Tour20Haut20Brion202005.png,354813,750ml,ml,(RP: 95; WS: 94),10,"1,080.00",Château La Tour Haut Brion,2005,France,Left Bordeaux,Red,Cabernet Sauvignon,/ Drink within 10-15 years.,/ Aged in French oak barrels for 18-20 months.,"autumn, winter",Soil Type: Gravel,"A rich, full-bodied wine with a velvety texture, showcasing rich fruit flavors, subtle minerality, and a dry, lingering finish.",Occasion: Celebration,Full,Medium,13.5,Rich,Medium,Dry
Chateau Lafon-Rochet 1986,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6734e1e87598599f97927e1bChateau20Lafon-Rochet201986.png,354815,750ml,ml,RP: 88; WS: 90,10,848,Chateau Lafon-Rochet,1986,France,Left Bordeaux,Red,Cabernet Sauvignon,/ Drink within 5 years.,/ Aged in French oak barrels for 24 months.,"Autumn, Winter",Soil Type: Gravel,"A rich, full-bodied Cabernet Sauvignon with a velvety texture, offering a complex array of dark fruit flavors, subtle hints of spice and tobacco, and a long, satisfying finish.",Occasion: Celebration,Full,Medium,13.5,Rich,Medium,Dry
Chateau Lagrange Saint-Julien 1981,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6734e1ea3fb9b25a19886bdcChateau20Lagrange20Saint-Julien201981.png,354817,750ml,ml,RP: 88; WS: 86,10,860,Chateau Lagrange,1981,France,Left Bordeaux,Red,Cabernet Sauvignon,/ Drink within 5 years.,"/ Aged in oak barrels for 24 months, with regular racking and fining.","autumn, winter",Soil Type: Gravel,"A classic Left Bank Bordeaux, this wine is full-bodied with rich, dark fruit flavors and a hint of minerality, balanced by medium acidity and a dry finish.",Occasion: Celebration,Full,Medium,13.5,Rich,Medium,Dry
Chateau Lalande-Borie 1990,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/67386df89b4c89bda5759ad6Chateau20Lalande-Borie201990.png,354819,750ml,ml,RP: 88; WS: 90,10,548,Chateau Lalande-Borie,1990,France,Left Bordeaux,Red,Cabernet Sauvignon,/ Drink within 10 years.,"/ Aged in French oak barrels for 24 months, with regular racking and fining.","autumn, winter",Soil Type: Gravel,"A rich, full-bodied wine with a velvety texture, offering a complex blend of dark fruit flavors, subtle minerality, and a hint of spice, culminating in a long, satisfying finish.",Occasion: Celebration,Full,Medium,13.5,Rich,Medium,Dry
Chateau Lascombes 2012,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6732083a691c6ea66828cfacChateau20Lascombes202012.png,354821,750ml,ml,RP: 92; WS: 90,10,575,Chateau Lascombes,2012,France,Left Bordeaux,Red,Cabernet Sauvignon,/ Drink within 10 years.,/ Aged in French oak barrels for 18 months.,"Autumn, Winter",Soil Type: Gravel,"A rich, full-bodied Cabernet Sauvignon with a velvety texture, offering a complex array of dark fruit flavors, subtle hints of spice and a long, satisfying finish.",Occasion: Celebration,Full,Medium,13.5,Rich,Medium,Dry
Chateau Lynch Moussas 2019,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6732083c47d75de4711206e5chateau20lynch20moussas202019.png,354823,750ml,ml,(RP: 92; WS: 94),10,355,Chateau Lynch Moussas,2019,France,Left Bordeaux,Red,Cabernet Sauvignon,/ Drink within 10 years.,/ Aged in French oak barrels for 12-14 months.,"autumn, winter",Soil Type: Gravel,"A full-bodied Cabernet Sauvignon with rich fruit flavors, medium acidity, and a dry finish, showcasing the classic Left Bank style of Bordeaux.",Occasion: Business,Full,Medium,13.5,Rich,Medium,Dry
Chateau Monbousquet 1999,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/67385ad170c197f9a5fd33c6Chateau20Monbousquet201999.png,354825,750ml,ml,RP: 88; WS: 90,10,868,Chateau Monbousquet,1999,France,Right Bordeaux,Red,Merlot,/ Drink within 10 years.,/ Aged in French oak barrels for 18-24 months.,,Soil Type: Clay-Limestone,"A rich, full-bodied Merlot with a velvety texture, offering a complex array of dark fruit flavors, subtle hints of spice and chocolate, and a long, satisfying finish.",Occasion: Celebration,Full,Medium,13.5,Rich,Medium,Dry
Chateau Pavie-Decesse Saint-Emilion 1989,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6734e1eb380f36befdb4b974Chateau20Pavie-Decesse20Saint-Emilion201989.png,354827,750ml,ml,(RP: 92; WS: 90),10,998,Chateau Pavie-Decesse,1989,France,Right Bordeaux,Red,Merlot,/ Drink within 10 years.,/ Aged in French oak barrels for 18-24 months.,"autumn, winter",Soil Type: Clay-Limestone,"A rich, full-bodied Merlot with a velvety texture, offering a complex array of dark fruit flavors, subtle hints of minerality, and a long, satisfying finish.",Occasion: Celebration,Full,Medium,13.5,Rich,Medium,Dry
"Chateau Pichon Longueville Comtesse de Lalande Pichon Comtesse Reserve, Pauillac 2009",https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/67320837366c9a47970de951Chateau20Pichon20Longueville20Comtesse20de20Lalande20Pichon20Comtesse20Reserve2C20Pauillac202009.png,354829,750ml,ml,RP: 94; WS: 92,10,558,Chateau Pichon Longueville Comtesse,2009,France,Left Bordeaux,Red,Cabernet Sauvignon,Drink within 10-15 years.,"/ Aged in French oak barrels for 18 months, with 70 new oak and 30 second-fill oak.","Autumn, Winter",Soil Type: Gravel,"A rich, full-bodied wine with a velvety texture, offering a complex array of dark fruit flavors, subtle hints of spice and tobacco, and a long, satisfying finish.",Occasion: Business,Full,Medium,13.5,Rich,Medium,Dry
Chateau Poyferre 2012,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6732083a6e5b8c45f5cc9234Chateau20Poyferre202012.png,354831,750ml,ml,RP: 92; WS: 90,10,650,Chateau Poyferre,2012,France,Left Bordeaux,Red,Cabernet Sauvignon,/ Drink within 10 years.,/ Aged in French oak barrels for 18 months with regular racking and fining.,"Autumn, Winter",Soil Type: Gravel,"A rich, full-bodied Cabernet Sauvignon with a velvety texture, offering a complex array of dark fruit flavors, subtle hints of spice and a long, satisfying finish.",Occasion: Celebration,Full,Medium,13.5,Rich,Medium,Dry
Chateau Smith Haut Lafitte 1986,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/67386df973b190ea1e281836Chateau20Smith20Haut20Lafitte201986.png,354833,750ml,ml,RP: 92; WS: 90,10,"1,248.00",Chateau Smith Haut Lafitte,1986,France,Left Bordeaux,Red,Cabernet Sauvignon,Drink within 10 years.,/ Aged in French oak barrels for 24 months.,"autumn, winter",Soil Type: Gravel,"A rich, full-bodied wine with a velvety texture, offering a complex array of dark fruit flavors, subtle hints of spice and tobacco, and a long, satisfying finish.",Occasion: Celebration,Full,Medium,13.5,Rich,Medium,Dry
Chateau Smith Haut Lafitte 2003,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/67386df912ab66f45bcf56c3Chateau20Smith20Haut20Lafitte202003.png,354835,750ml,ml,RP: 92; WS: 90,10,"1,080.00",Chateau Smith Haut Lafitte,2003,France,Left Bordeaux,Red,Cabernet Sauvignon,/ Drink within 10 years.,/ Aged in French oak barrels for 18-20 months.,"autumn, winter",Soil Type: Gravel,"A rich, full-bodied Cabernet Sauvignon with a velvety texture, offering a complex array of dark fruit flavors, subtle minerality, and a hint of spice, culminating in a long, satisfying finish.",Occasion: Celebration,Full,Medium,13.5,Rich,Medium,Dry
Chateau Talbot 2001,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/67386df99e0da7d6b5da6a94Chateau20Talbot202001.png,354837,750ml,ml,RP: 88; WS: 90,10,868,Chateau Talbot,2001,France,Left Bordeaux,Red,Cabernet Sauvignon,/ Drink within 10 years.,/ Aged in French oak barrels for 18 months.,"autumn, winter",Soil Type: Gravel,"A full-bodied Cabernet Sauvignon with rich fruit flavors, medium acidity, and a dry finish, offering a complex and structured taste experience.",Occasion: Celebration,Full,Medium,13.5,Rich,Medium,Dry
Chateau Talbot 2018,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/67320839764d7bdd738f8eadChateau20Talbot202018.png,354839,750ml,ml,RP: 92; WS: 90,10,,Chateau Talbot,2018,France,Left Bordeaux,Red,Cabernet Sauvignon,/ Drink within 10 years.,/ Aged in French oak barrels for 12 months with 30 new oak.,"Autumn, Winter",Soil Type: Gravel,"A full-bodied Cabernet Sauvignon with rich fruit flavors, medium acidity, and a dry finish, showcasing the classic Left Bank style of Bordeaux.",Occasion: Celebration,Full,Medium,13.5,Rich,Medium,Dry
Claude Dugat La Gibryotte Bourgogne Rouge Burgundy 2020,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6732083884c9b5789df0abadClaude20Dugat20La20Gibryotte20Bourgogne20Rouge20Burgundy202020.png,354841,750ml,ml,RP: 92; WS: 90,10,328,Claude Dugat La Gibryotte,2020,France,Burgundy,Red,Pinot Noir,/ Drink within 5-7 years.,/ Aged in French oak barrels for 12 months with 20 new oak.,/,Soil Type: Limestone,"A classic Burgundian Pinot Noir with a medium-bodied frame, Claude Dugat La Gibryotte Bourgogne Rouge Burgundy 2020 showcases fresh, red fruit flavors, subtle minerality, and a dry, crisp finish.",Occasion: Celebration,Medium,Medium,13.5,Fresh,Medium,Dry
Clos Mogador Nelin Blanc 2019,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6734e1e8b502809c5c5b7d39Clos20Mogador20Nelin20Blanc202019.png,354843,750ml,ml,RP: 92; WS: 94,10,498,Clos Mogador,2019,Spain,Priorat,White,Garnacha Blanca,/ Drink within 5 years.,/ Aged in French oak barrels for 12 months with regular bâtonnage.,"summer, autumn",Soil Type: Llicorella (Schist),"A rich and full-bodied white wine with a medium body, showcasing the Garnacha Blanca grapes unique characteristics. Expect a complex interplay of rich fruit flavors, elevated by a high minerality and a dry finish, all balanced by a medium acidity and a robust 14.5 alcohol content.",Occasion: Celebration,Medium,Medium,14.5,Rich,High,Dry
Cockburns 20 Years Old Tawny Port N.V.,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6734e1e9c02b8e0e52045ff0Cockburn27s202020Years20Old20Tawny20Port20N.V.png,354845,750ml,ml,RP: 92; WS: 90,10,329,Cockburn,N.V.,Portugal,Port,Fortified,Port,/ Drink now or within 5 years.,/ Aged in oak barrels for 20 years.,"Autumn, Winter",Soil Type: Schist,"A rich, sweet, and full-bodied tawny port with a deep, velvety texture and flavors of dried fruit, nuts, and caramel, perfect for sipping on its own or pairing with sweet treats.",Occasion: Celebration,Full,Medium,20.5,Rich,Low,Sweet
Columbia Crest Reserve Cabernet Sauvignon Columbia Valley 2004,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6734e1e871c56169c7c60dfcColumbia20Crest20Reserve20Cabernet20Sauvignon20Columbia20Valley202004.png,354847,750ml,ml,RP: 92; WS: 90,10,548,Columbia Crest,2004,USA,Washington,Red,Cabernet Sauvignon,Drink within 10 years.,/ Aged in French oak barrels for 24 months.,"Autumn, Winter",Soil Type: Silt,"A rich, full-bodied Cabernet Sauvignon with a velvety texture, showcasing flavors of dark fruit, black cherry, and subtle hints of spice, with a medium acidity and a dry finish.",Occasion: Business,Full,Medium,14.5,Rich,Medium,Dry
Confratelli di San Michele Barbaresco Cottà 1974,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6732083d35ccfc6263c32c1fConfratelli20di20San20Michele20Barbaresco20CottaCC80201974.png,354849,750ml,ml,RP: 92; WS: 90,10,799,Confratelli di San Michele,1974,Italy,Piedmont,Red,Nebbiolo,Drink now.,"/ Aged in large oak casks for 3-4 years, followed by extended bottle aging.","Autumn, Winter",Soil Type: Clay-Limestone,"A classic Barbaresco with rich, full-bodied flavors of dark cherry, plum, and blackberry, complemented by hints of spice, leather, and tobacco, with a medium acidity and a dry, lingering finish.",Occasion: Celebration,Full,Medium,13.5,Rich,Medium,Dry
"Cordero di Montezemolo Enrico VI, Barolo 2006",https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6732083ca63da4ba03542adfCordero20di20Montezemolo20Enrico20VI2C20Barolo202006.png,354851,750ml,ml,RP: 92; WS: 94,10,725,Cordero di Montezemolo,2006,Italy,Piedmont,Red,Nebbiolo,/ Drink within 10-15 years.,/ Aged for 24 months in French oak barrels.,"Autumn, Winter",Soil Type: Clay-Limestone,"A rich, full-bodied Barolo with a complex bouquet of dark fruit, leather, and spice, supported by firm tannins and a long, dry finish.",/ Occasion: Celebration,Full,Medium,14.5,Rich,Medium,Dry
Coudray-Bizot Chateau de Beaufort Les Champeaux Gevrey Chambertin Premier Cru 2013,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6732083ce90b62ef85b94893Coudray-Bizot20Chateau20de20Beaufort20Les20Champeaux20Gevrey20Chambertin20Premier20Cru202013.png,354853,750ml,ml,(RP: 92; WS: 90),10,930,Coudray-Bizot,2013,France,Cote de Nuits,Red,Pinot Noir,Drink within 10 years.,/ Aged in French oak barrels for 12-18 months with 30 new oak.,"Autumn, Winter",Soil Type: Limestone,"A classic Pinot Noir from the esteemed Cote de Nuits region, this wine boasts a medium-bodied frame, fresh fruit flavors, and a subtle minerality that adds depth and complexity. Its medium acidity and 13.5 alcohol content strike a perfect balance, culminating in a dry, refined finish.",Occasion: Celebration,Medium,Medium,13.5,Fresh,Medium,Dry
Dalton Winery Levantina 2021,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6734e1e8df5c1e097e38c5e0Dalton20Winery20Levantina202021.png,354855,750ml,ml,(RP: 88; WS: 90),10,298,Dalton,2021,Israel,Galilee,White,Petite Sirah,/ Drink within 3-5 years.,/ Aged in French oak barrels for 12 months with regular racking and fining.,"summer, autumn",Soil Type: Terra Rossa,"A full-bodied Petite Sirah with rich fruit flavors, medium acidity, and a hint of minerality, finishing dry with a robust 14.2 alcohol content.",Occasion: Celebration,Full,Medium,14.2,Rich,Medium,Dry
Dalton Winery Wild One 2022,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6734e1eb380f36befdb4b9aeDalton20Winery20Wild20One202022.png,354857,750ml,ml,(RP: 88; WS: 90),10,298,Dalton,2022,Israel,Galilee,Red,Chenin Blanc,Drink within 2-3 years.,/ Aged in stainless steel with partial oak for 6 months.,"summer, spring",Soil Type: Limestone,"This crisp and refreshing Chenin Blanc from the Galilee region boasts a medium body, high acidity, and a hint of sweetness. Fresh fruit flavors dominate the palate, with a subtle minerality adding depth and complexity. Perfect for sipping on a warm day or pairing with lighter fare.",Occasion: Celebration,Medium,High,12.5,Fresh,Medium,Off-dry
De Maria Dogliani Barbaresco Riserva Speciale DOCG Piedmont 1967,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6732083b9e575f0f0e14166fDe20Maria20Dogliani20Barbaresco20Riserva20Speciale20DOCG20Piedmont201967.png,354859,750ml,ml,RP: 92; WS: 94,10,749,De Maria Dogliani,1967,Italy,Piedmont,Red,Nebbiolo,Drink now.,"/ Aged for 3 years in large oak casks, followed by 2 years in smaller barriques, and then bottle-aged for at least 10 years.","Autumn, Winter",Soil Type: Clay-Limestone,"A rich and full-bodied Barbaresco Riserva with a deep, velvety texture, showcasing Nebbiolos signature flavors of dark cherry, plum, and leather, complemented by hints of spice and subtle minerality, with a dry finish and a lingering aftertaste.",Occasion: Celebration,Full,Medium,13.5,Rich,Medium,Dry
Dom Perignon Vintage Luminous 2012,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/67386df90036ea32822ea8bdDom20Perignon20Vintage20Luminous202012.png,354861,750ml,ml,RP: 96; WS: 94,10,"2,188.00",Dom Perignon,2012,France,Champagne,Sparkling,Chardonnay,/ Drink within 10 years.,"/ Aged for a minimum of 7 years in the cellars, with a slow and gentle maturation in the bottle, followed by a remuage and degorgement process.","Spring, Summer",Soil Type: Limestone,"A luxurious and elegant champagne with a fresh, fruity aroma and a crisp, high-acidity palate, balanced by a medium body and a dry, mineral finish.",/ Occasion: Celebration,Medium,High,12.5,Fresh,Medium,Dry
Domain Mosnier Chablis 1893 Heritage 2021,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6732083833eb6a47955bf111Domain20Mosnier20Chablis20189320Heritage202021.png,354863,750ml,ml,(RP: 92; WS: 90),10,378,Mosnier,2021,France,Chablis,White,Chardonnay,/ Drink within 5 years.,/ Aged in French oak barrels for 12 months with regular lees stirring.,"Spring, Summer",Soil Type: Limestone,"A crisp and refreshing Chardonnay with a rich heritage, boasting a medium body, high acidity, and a dry finish, showcasing fresh fruit flavors and a pronounced minerality.",Occasion: Celebration,Medium,High,12.8,Fresh,High,Dry
Domain Mosnier Chablis Terre de Secret 2020,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6732083c257506d26ea2a873Domain20Mosnier20Chablis20Terre20de20Secret202020.png,354865,750ml,ml,(RP: 92; WS: 90),10,338,Mosnier,2020,France,Chablis,White,Chardonnay,/ Drink within 5 years.,/ Aged in French oak barrels for 12 months with regular lees stirring.,"spring, summer",Soil Type: Limestone,"A crisp and refreshing Chardonnay with a medium body, showcasing fresh fruit flavors and a hint of minerality, balanced by high acidity and a dry finish.",/ Occasion: Celebration,Medium,High,12.5,Fresh,Medium,Dry
Domain Mosnier Chablis 1er Cru Beauroy 2021,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6732083c5fb3685dcfd6c8efDomain20Mosnier20Chablis201er20Cru20Beauroy202021.png,354867,750ml,ml,(RP: 92; WS: 90),10,350,Mosnier,2021,France,Chablis,White,Chardonnay,/ Drink within 5-7 years.,/ Aged in oak barrels for 12 months with regular lees stirring.,"spring, summer",Soil Type: Kimmeridgian Limestone,"A crisp and refreshing Chardonnay with a medium body, showcasing fresh fruit flavors and a high level of minerality, balanced by a zesty acidity and a dry finish.",Occasion: Celebration,Medium,High,12.5,Fresh,High,Dry
Domain Mosnier Chablis 2020,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/673208385387060c754b757eDomain20Mosnier20Chablis202020.png,354869,750ml,ml,(RP: 88; WS: 90),10,243,Mosnier,2020,France,Chablis,White,Chardonnay,/ Drink within 5 years.,/ Aged in oak barrels for 12 months with regular lees stirring.,"Spring, Summer",Soil Type: Limestone,"A crisp and refreshing Chardonnay with a medium body, showcasing fresh fruit flavors, high acidity, and a strong mineral backbone, finishing dry and clean.",Occasion: Celebration,Medium,High,12.5,Fresh,High,Dry
Domain Mosnier Petit Chablis 2022,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/67320836881386c295df11daDomain20Mosnier20Petit20Chablis202022.png,354871,750ml,ml,(RP: 88; WS: 90),10,198,Mosnier,2022,France,Chablis,White,Chardonnay,/ Drink within 5 years.,/ Aged in stainless steel with partial oak for 9 months.,"spring, summer",Soil Type: Limestone,"A crisp and refreshing Chardonnay with a medium body, showcasing fresh fruit flavors and a high level of minerality, balanced by a zesty acidity and a dry finish.",Occasion: Celebration,Medium,High,12.5,Fresh,High,Dry
Domaine Alain Graillot Crozes-Hermitage La Guiraude Rhone 2019,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/67386dfdcab8ba18ca6f17b0Domaine20Alain20Graillot20Crozes-Hermitage20La20Guiraude20Rhone202019.png,354873,750ml,ml,(RP: 92; WS: 90),10,488,Alain Graillot,2019,France,Rhone,Red,Shiraz,/ Drink within 5-7 years.,/ Aged in French oak barrels for 12 months with regular racking and gentle stirring of the lees.,"Autumn, Winter",Soil Type: Granite,"A rich, full-bodied Shiraz with a deep, dark fruit flavor profile, complemented by a medium acidity and a hint of minerality, finishing dry and robust.",Occasion: Celebration,Full,Medium,14.5,Rich,Medium,Dry
Domaine Charles Joguet Chinon Clos de la Dioterie Loire 2016,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6732083ae6e216165a8b6d5cDomaine20Charles20Joguet20Chinon20Clos20de20la20Dioterie20Loire202016.png,354875,750ml,ml,(RP: 90; WS: 92),10,499,Charles Joguet,2016,France,Chinon,Red,Cabernet Franc,/ Drink within 5-7 years.,/ Aged in French oak barrels for 12-18 months.,"spring, autumn",Soil Type: Clay-Limestone,"A classic Loire Valley Cabernet Franc, this wine offers a perfect balance of fresh fruit flavors, medium acidity, and subtle minerality, all wrapped up in a medium-bodied package with a dry finish.",Occasion: Casual,Medium,Medium,13.5,Fresh,Medium,Dry
Domaine Chevalier Pere Fils Corton Le Rognet Grand Cru 2020,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6732083b472b1b6e0d7ed809Domaine20Chevalier20Pere202620Fils20Corton20Le20Rognet20Grand20Cru202020.png,354877,750ml,ml,(RP: 92; WS: 90),10,998,Chevalier Pere Fils,2020,France,Cote de Beaune,Red,Pinot Noir,/ Drink within 5-7 years.,/ Aged in French oak barrels for 12-14 months with 30 new oak.,"Spring, Autumn",Soil Type: Limestone,"A delicate and elegant Pinot Noir with fresh fruit aromas, medium acidity, and a subtle minerality, leading to a dry and refined finish.",Occasion: Celebration,Medium,Medium,13.2,Fresh,Medium,Dry
Domaine Chevalier Pere Fils Gevrey Chambertin Cote de Nuits 2018,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/67385ad242b050bada514a5eDomaine20Chevalier20Pere202620Fils20Gevrey20Chambertin20Cote20de20Nuits202018.png,354881,750ml,ml,RP: 92; WS: 90,10,548,Chevalier Pere Fils,2018,France,Cote de Nuits,Red,Pinot Noir,Drink within 10 years.,"/ Aged in French oak barrels for 12-18 months, with 20-30 new oak.","Autumn, Winter",Soil Type: Limestone,"A classic Pinot Noir from the esteemed Cote de Nuits region, this wine boasts a medium-bodied frame, fresh fruit flavors, and a subtle minerality that adds depth and complexity. The finish is dry and satisfying, with a hint of acidity that leaves you wanting another sip.",Occasion: Celebration,Medium,Medium,13.2,Fresh,Medium,Dry
Domaine Chevalier Pere Fils Le Clou dOrge Ladoix Premier Cru 2018,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6732083a5ec533295a71d106Domaine20Chevalier20Pere202620Fils20Le20Clou20dOrge20Ladoix20Premier20Cru202018.png,354883,750ml,ml,(RP: 92; WS: 90),10,439,Chevalier Pere Fils,2018,France,Cote de Beaune,Red,Pinot Noir,/ Drink within 10 years.,"/ Aged in French oak barrels for 12 months, with 25 new oak and 75 second-fill barrels.","Autumn, Winter",Soil Type: Limestone,"A delicate and elegant Pinot Noir with fresh fruit aromas, medium acidity, and a subtle minerality, offering a refined and balanced taste experience.",Occasion: Celebration,Medium,Medium,13.2,Fresh,Medium,Dry
Domaine Chevalier Pere Fils Le Clou dOrge Ladoix Premier Cru 2020,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6734e1ea4e0c2b49adfefe68Domaine20Chevalier20Pere202620Fils20Le20Clou20d27Orge20Ladoix20Premier20Cru202020.png,354885,750ml,ml,(RP: 92; WS: 90),10,450,Chevalier Pere Fils,2020,France,Cote de Beaune,Red,Pinot Noir,/ Drink within 10 years.,/ Aged in French oak barrels for 12-14 months with 20-30 new oak.,"spring, autumn",Soil Type: Limestone,"This Pinot Noir from the esteemed Cote de Beaune region is a masterclass in elegance, boasting a medium-bodied frame, fresh fruit flavors, and a subtle minerality that adds depth to its dry, crisp finish.",Occasion: Celebration,Medium,Medium,13.2,Fresh,Medium,Dry
Domaine Daniel Dampt et Fils Les Lys Chablis Premier Cru 2019,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6734e1ee6684bfa6b30addbfDomaine20Daniel20Dampt20et20Fils20Les20Lys20Chablis20Premier20Cru202019.png,354887,750ml,ml,(RP: 92; WS: 90),10,398,Daniel Dampt et Fils,2019,France,Chablis,White,Chardonnay,/ Drink within 5-7 years.,"/ Aged in oak barrels for 12 months, with 20 new oak and 80 second-fill oak, followed by 6 months of aging on lees in stainless steel tanks.","Spring, summer",Soil Type: Kimmeridgian Limestone,"A crisp and refreshing Chardonnay with a medium body, showcasing fresh fruit flavors and a hint of minerality, balanced by high acidity and a dry finish.",Occasion: Celebration,Medium,High,12.5,Fresh,Medium,Dry
